# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = earnings2_model
# start_datetime = 2023-07-16 16:10:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = earnings2.json
# init = 2 (Default)
# random
#   seed = 1721821291 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,sigma
-9220.03,0.921589,0.0295358,7,127,0,9233.65,-33.6708,6.19961e-05,6.77918,-15.6702,11.9397,-9.58715,17.0239,3.43358,0.336588,8.43177,-8.59878,17.1491,112.784
-9228.9,0.601776,0.0295358,7,127,0,9232.52,-36.2905,-0.000258172,4.2272,7.18113,8.28851,-17.8641,11.8053,6.48954,-0.0919992,-4.4137,4.22273,-16.8973,117.662
-9229.77,0.976424,0.0295358,7,127,0,9236.54,-48.0604,-0.000261047,4.29238,-3.94138,10.5938,-1.96536,20.7757,4.7251,-0.170334,-6.99143,-15.0398,8.86762,108.113
-9223.5,0.999941,0.0295358,7,127,0,9234.07,-35.3983,-5.63072e-05,-8.43324,13.5097,17.9841,-12.5688,11.3992,6.06428,0.179597,-12.3949,-7.85276,-0.271173,111.413
-9226.13,0.997586,0.0295358,7,127,0,9230.89,-31.5117,-6.26816e-05,-8.71776,13.6253,24.4013,-9.97393,14.7084,5.84046,-0.200201,18.398,-11.3444,10.3991,112.351
-9226.83,0.983305,0.0295358,7,127,0,9231.03,-39.2982,3.63012e-05,11.4765,-26.8024,8.65613,-5.38586,14.1345,5.40963,-0.102281,-16.8587,-5.78857,16.0581,117.09
-9224.84,0.952361,0.0295358,7,127,0,9231.44,-46.1325,2.34604e-06,-8.78033,12.7741,14.3196,-14.8629,16.599,4.12887,0.767265,30.9112,1.30662,-24.4931,110.659
-9225.48,0.977963,0.0295358,7,127,0,9228.61,-38.0707,-4.28254e-06,12.5225,-23.277,17.614,-1.38617,16.5992,4.637,0.0222946,-26.5444,11.2251,2.79955,115.748
-9221.95,0.880622,0.0295358,6,63,0,9229,-34.4748,4.47376e-05,1.63351,-25.9227,19.1535,-9.30015,18.7994,4.06175,0.00141841,-19.3107,7.81389,-5.40277,115.678
-9221.87,0.984041,0.0295358,7,127,0,9228.27,-44.1059,8.06835e-05,-2.82484,15.8861,8.8955,-6.02439,13.3405,4.27292,0.707795,22.012,-3.93161,-16.0613,111.787
-9221.93,0.772696,0.0295358,8,255,0,9229.38,-29.6681,-6.52052e-05,1.25338,-29.7073,9.92283,-10.6714,17.1349,2.36378,0.623665,-15.628,-28.9728,-16.6072,114.937
-9223.44,0.995632,0.0295358,7,127,0,9227.16,-24.253,-3.26673e-05,3.32439,-13.9821,14.6041,-9.47803,16.6526,3.29045,0.167833,-39.0684,-24.8323,6.97974,110.067
-9222.69,0.994417,0.0295358,7,127,0,9228.04,-20.0632,-2.11322e-05,-2.99932,-14.2099,5.42841,-16.1719,15.1868,1.99007,0.637525,13.6385,-20.808,-31.5236,116.428
-9222.48,0.948855,0.0295358,7,127,0,9229.39,-46.0507,-6.92324e-05,6.80924,1.20882,18.6571,-11.3209,13.7228,4.91781,0.311839,-5.61504,-17.2058,-52.5259,114.084
-9223.05,0.941669,0.0295358,7,255,0,9228.37,-47.444,-8.77585e-05,-1.99594,-9.46882,11.2716,-9.68952,19.2731,3.60784,0.593834,8.33625,28.7446,1.79131,112.307
-9222.68,0.986963,0.0295358,7,255,0,9233.92,-29.7745,-2.02907e-05,7.47473,-10.1925,18.1305,-10.5586,12.4634,5.48422,0.0464534,-10.2008,-26.8671,-17.853,111.248
-9221.91,0.999876,0.0295358,7,255,0,9231.26,-32.8899,2.24978e-05,5.79639,-17.9021,14.0181,-11.3528,14.5419,4.10133,0.157581,-16.7403,-31.9611,-21.2553,111.715
-9225.38,0.988666,0.0295358,7,255,0,9230.13,-28.4557,2.86097e-05,8.94217,0.196954,0.839082,-10.7788,17.3824,4.83493,-0.0650063,4.46818,-28.4061,-62.9596,112.327
-9222.5,0.945459,0.0295358,7,255,0,9231.47,-55.8433,0.000109511,-3.61173,11.4731,17.8633,-3.1965,17.6628,2.92801,0.789984,16.8336,-5.40291,-30.8684,113.772
-9220.96,0.979108,0.0295358,7,127,0,9225.28,-33.9486,8.09887e-05,3.29674,-22.2414,17.7685,-3.62037,16.8511,3.1673,0.449226,-6.22199,-4.23013,-16.6097,113.241
-9221.91,0.999981,0.0295358,7,127,0,9223.85,-32.4336,7.03272e-05,4.91035,-15.9131,24.525,-8.00468,14.1261,5.36257,-0.0528349,-6.98484,-10.5543,-21.9471,113.408
-9224.01,0.918393,0.0295358,7,255,0,9227.97,-23.5299,0.000122526,2.6675,-13.1353,5.97726,-10.7346,13.5769,2.43667,0.448271,-2.18731,2.72949,-31.6721,112.76
-9224.11,0.882968,0.0295358,6,127,0,9232.03,-35.643,5.37661e-05,1.20062,-10.1563,5.19702,-1.86149,18.3063,4.4055,0.156763,-9.11955,-3.46879,-36.4413,109.354
-9223.41,0.938673,0.0295358,7,127,0,9230.67,-41.3443,-2.83827e-05,-1.1038,-2.99818,7.62964,1.38499,18.5987,4.00922,0.00666923,-10.404,-7.61803,-35.6431,110.832
-9224.08,0.951497,0.0295358,7,127,0,9231,-19.2244,-7.07582e-05,-3.91161,-23.0981,26.8483,-13.7524,10.1746,5.60974,-0.277059,-13.8562,-5.4062,-32.8795,115.047
-9222.46,0.99947,0.0295358,7,255,0,9228.38,-18.6617,-8.23917e-05,0.610858,-9.22233,22.7729,-12.4115,8.50957,5.23671,0.0430993,-9.63409,-19.6829,-45.6226,113.357
-9222.95,0.988321,0.0295358,7,127,0,9228.28,-18.261,8.21393e-05,6.93881,-15.3307,12.3088,-3.95032,12.3987,3.39578,0.100338,-19.5332,-18.5946,-48.9603,114.65
-9222.83,0.994957,0.0295358,7,255,0,9228.92,-21.0959,-5.96651e-05,-7.47174,-6.37978,8.18218,-19.6623,17.2712,4.52397,-0.0928713,-14.3368,-27.0568,12.2563,113.002
-9221.7,0.998109,0.0295358,7,255,0,9230.23,-42.4559,2.76051e-05,5.91335,-9.45218,16.5434,-2.6013,14.8049,1.57498,1.11395,5.14137,-13.5149,15.5321,112.785
-9222.65,0.934647,0.0295358,7,127,0,9227.68,-44.5506,3.44774e-05,-6.28062,10.5086,17.833,-12.0631,18.1579,2.35342,0.824031,12.4869,1.48441,24.992,114.004
-9223.79,0.988156,0.0295358,8,255,0,9228.8,-59.3555,-5.48961e-05,9.37767,11.3528,10.7575,-0.0506609,16.8931,3.82262,0.741353,30.3348,14.4001,-28.9552,111.44
-9220.89,1,0.0295358,7,255,0,9229.03,-53.7009,-4.15181e-05,-0.0253045,-6.67972,13.0026,-1.37869,19.6348,3.3972,0.553964,24.2022,-2.53683,-10.5574,110.509
-9218.55,0.993834,0.0295358,7,127,0,9223.49,-36.633,-5.76796e-05,3.32772,-2.92661,17.0191,-11.7369,15.2391,3.85429,0.387062,1.17921,-6.03212,-41.747,114.062
-9225.11,0.980011,0.0295358,7,127,0,9229.33,-23.9297,7.67298e-05,-3.35288,-23.3032,17.9646,-8.88386,17.9392,2.61042,0.185056,-29.16,13.0077,38.8594,112.778
-9221.95,0.944601,0.0295358,7,127,0,9233.38,-37.982,0.00010992,-1.15419,-23.0588,18.5901,-8.63325,14.424,5.25368,0.152198,10.2574,-6.71052,-11.8743,115.98
-9226.36,0.993391,0.0295358,7,127,0,9234.63,-29.4115,-7.27058e-05,-2.38332,-10.2983,9.20544,-14.5321,14.3127,1.92606,0.787217,-29.9298,-8.42227,-53.0463,111.689
-9225.5,0.99972,0.0295358,7,127,0,9231.36,-15.997,4.505e-06,7.73913,2.31539,10.2452,-14.5305,11.101,3.68698,0.436636,-33.7346,-11.2737,-30.3141,114.696
-9223.64,0.999734,0.0295358,7,127,0,9229.93,-42.639,1.46797e-05,-8.8343,-14.5174,9.20273,-8.61345,20.0822,3.75566,0.183817,-11.0318,-15.5992,23.75,112.25
-9220.8,0.986829,0.0295358,7,127,0,9228.6,-43.0391,-8.90669e-06,1.68316,-10.142,11.3649,-5.16543,19.5289,4.18111,0.190477,-5.83686,-29.7123,15.1152,111.744
-9223.57,0.815353,0.0295358,7,255,0,9230.05,-42.8938,0.000154113,-2.8457,7.0155,10.1568,-7.83456,16.5755,5.86469,-0.0612307,35.8522,-3.15024,-26.0807,114.86
-9220.59,0.994624,0.0295358,7,127,0,9226.38,-38.8342,-9.60125e-05,5.99746,-1.82428,20.4844,-6.21611,13.2967,5.73631,-0.00915048,-5.74667,-1.41848,-33.7869,113.292
-9220.81,0.999968,0.0295358,7,127,0,9224.66,-37.1845,-8.03149e-05,7.73163,-3.90193,23.4808,-8.66232,13.6017,5.3644,-0.0924503,-9.95352,-1.93125,-30.4782,113.33
-9225.01,0.995728,0.0295358,7,127,0,9229.8,-26.8066,9.00611e-06,-7.116,-21.7586,-1.3371,-10.5362,17.8776,3.50936,0.316542,11.6196,-45.1081,-58.3374,112.616
-9230.55,0.914423,0.0295358,7,127,0,9235.24,-12.9496,4.86455e-05,10.4527,-19.3165,25.4958,-16.6722,8.80498,1.13793,1.02882,25.4182,-43.1526,-43.7158,114.586
-9227.08,0.985284,0.0295358,7,127,0,9236.52,-40.6139,5.82517e-05,-9.88342,-3.28253,23.1068,-4.18292,15.4636,2.3494,0.937211,18.8355,-56.7023,-37.8942,114.3
-9226.21,0.983028,0.0295358,7,255,0,9236.77,-39.8838,-3.12468e-05,0.479018,8.48178,9.08443,-20.6394,18.3817,3.80942,0.643983,3.01542,-37.1008,-33.7618,116.374
-9225.14,0.998072,0.0295358,7,127,0,9230.5,-40.8889,8.63409e-06,0.790815,9.87052,8.68069,1.87354,18.2098,4.60691,0.147973,20.5781,-20.1552,-20.4938,110.795
-9229.08,0.978903,0.0295358,7,127,0,9234.84,-38.6317,3.03587e-05,2.85266,-34.6526,26.7287,-4.9715,16.9657,2.47947,0.864604,-7.3017,-19.2455,-5.83899,114.773
-9226.94,0.998921,0.0295358,7,127,0,9235.4,-34.254,2.61087e-05,13.9405,-16.0372,22.3286,-13.6645,14.9358,3.45992,0.0772383,6.94076,-18.2948,-39.5743,113.039
-9222.72,0.999968,0.0295358,7,127,0,9231.87,-35.1821,3.4201e-05,-11.1979,-0.157369,3.3258,-9.71221,15.0374,3.35984,0.694683,0.0802483,12.3887,-22.0749,111.935
-9223.21,0.991165,0.0295358,7,127,0,9226.89,-51.0668,-2.48172e-05,14.2832,-13.7224,18.2488,-8.80944,20.2033,4.0306,0.243141,-9.17396,14.3012,-18.3901,114.547
-9223.58,0.986786,0.0295358,7,127,0,9227.97,-29.0235,3.5119e-06,-13.0002,-8.6371,16.0363,-8.14659,11.7744,2.97638,0.889583,17.033,1.77902,-37.9345,111.392
-9221.71,0.87829,0.0295358,7,127,0,9227.62,-29.9596,-7.53524e-05,-2.00212,5.27674,15.2446,-17.9236,15.5975,1.95813,0.816724,3.38137,-0.695778,-5.58721,113.538
-9220.02,0.917144,0.0295358,8,255,0,9225.39,-37.6356,-1.97216e-05,1.85769,-17.6178,13.8214,-4.76487,18.6762,4.20756,0.0534,-16.7603,0.23419,-53.0397,112.566
-9219.71,0.999561,0.0295358,7,127,0,9221.38,-20.5187,-2.19565e-05,-2.80701,-1.73785,13.7475,-15.7338,12.0433,4.47391,0.174373,-3.17033,-1.62579,-10.3056,113.567
-9219.57,0.999419,0.0295358,7,255,0,9223.3,-23.2855,-1.04644e-05,-0.0953727,-18.7777,9.72925,-11.1,12.8474,3.40353,0.43862,-15.7321,-15.5983,-22.6522,114.292
-9219.12,0.999919,0.0295358,7,255,0,9223.42,-44.1013,-1.62185e-05,3.89616,-11.8739,18.5279,-8.89226,15.3867,3.16746,0.727422,13.0675,0.461741,-5.66153,113.082
-9219.64,0.861339,0.0295358,7,255,0,9222.25,-28.1868,0.000123225,-2.53149,-7.31945,11.5908,-7.78072,16.0753,2.38045,0.579624,-6.49405,-13.566,-22.3354,113.97
-9220.46,0.99987,0.0295358,7,127,0,9222.21,-36.274,-0.000107073,4.16055,-9.85669,16.4498,-10.614,16.1249,3.78591,0.345352,8.33141,-22.9503,-64.1767,112.481
-9224.3,0.939792,0.0295358,7,127,0,9226.77,-36.1134,0.000149592,5.01325,-19.6332,18.4707,1.09371,12.4521,4.04083,0.446244,19.3859,-21.6057,-60.3435,112.793
-9222.53,0.997707,0.0295358,7,255,0,9228.29,-34.2722,-2.35978e-05,3.62788,-20.6667,22.2236,0.218021,12.2344,3.6367,0.372094,18.4741,-20.2185,-54.236,112.409
-9223.17,0.983012,0.0295358,8,255,0,9229.04,-46.9648,2.66994e-06,-6.31702,6.30881,4.75915,-18.2834,20.0849,2.29034,1.11378,-5.67543,-6.45003,-9.40448,113.935
-9220.71,0.959088,0.0295358,7,127,0,9228.59,-34.4809,-6.77214e-05,-0.302894,-20.9456,9.27398,-10.1446,19.9891,3.68738,0.195797,5.48422,0.80263,-32.9514,112.284
-9220.25,0.98103,0.0295358,7,255,0,9226.48,-32.0564,9.22826e-06,-2.21164,-27.9014,9.87481,-11.5423,18.5352,4.03154,-0.00904482,0.392959,-4.26288,-24.967,111.911
-9225.63,0.999677,0.0295358,7,127,0,9229.48,-54.6073,-2.58844e-06,4.00782,19.1498,25.0784,-13.6768,15.5519,5.55721,0.198516,0.744467,-1.04656,46.8651,114.691
-9224.78,0.960587,0.0295358,7,255,0,9232.45,-39.8652,-5.59503e-05,-7.90783,-11.1312,12.6132,0.937959,16.265,5.11432,0.0826234,25.1461,-28.6026,23.1871,110.695
-9223.61,0.93667,0.0295358,7,127,0,9230.33,-51.7458,-9.65825e-05,10.7953,2.36878,17.5933,-6.55892,18.6003,4.71728,0.0870476,-26.4525,-11.8643,17.2549,113.151
-9225.92,0.97807,0.0295358,7,127,0,9230.93,-26.2115,-4.54581e-06,-11.533,-7.58056,7.38253,-6.72928,13.4784,2.41569,0.803401,34.8013,0.482732,0.511328,114.341
-9225.81,0.982429,0.0295358,7,127,0,9230.42,-44.4933,4.4245e-05,12.6502,-13.3614,22.9902,-10.8794,18.0016,2.74421,0.486566,-28.4491,-23.4967,8.09607,112.302
-9222.43,0.999547,0.0295358,7,127,0,9230.21,-19.1426,3.39505e-05,-5.88032,-35.0087,17.364,-5.59238,14.1045,3.52931,0.0749878,-6.06592,-24.129,18.546,114.886
-9225.28,0.95351,0.0295358,8,255,0,9232.49,-41.5947,4.75465e-05,-3.78122,-15.5383,9.40166,-9.62987,19.9624,0.693945,1.2661,3.03326,20.3338,-32.612,115.661
-9222.09,0.982071,0.0295358,7,127,0,9229.29,-37.1054,-4.34597e-05,3.44884,5.20175,19.0631,-7.83121,14.3649,6.30469,-0.188736,-2.18178,1.50433,-9.70447,111.236
-9221.79,0.991908,0.0295358,7,255,0,9228.89,-11.2412,-1.3372e-05,-0.792949,-16.3074,11.8386,-17.0646,11.4645,5.09639,-0.203103,-31.1486,-11.6882,-9.76107,112.095
-9220.56,0.98606,0.0295358,7,255,0,9225.94,-26.0637,-2.6285e-05,1.40787,-16.8023,15.2615,-13.0885,15.2409,5.22336,-0.170509,-0.827013,-31.4509,-3.23104,112.051
-9223.96,0.880512,0.0295358,7,127,0,9227.61,-36.2811,-0.000117038,-4.43521,-1.04619,20.5368,0.586357,12.553,3.83419,0.518149,10.4472,-21.5574,37.6708,116.06
-9229.38,0.976664,0.0295358,7,255,0,9238.96,-56.6227,-8.66943e-05,0.0760631,15.7753,17.5586,5.6243,19.3358,4.74053,-0.0602242,35.6307,-10.6605,19.7976,114.892
-9225.98,0.999972,0.0295358,7,127,0,9233.08,-59.5589,7.92637e-05,-6.8316,15.5167,15.9197,-0.85874,15.4247,5.17836,0.705161,14.9842,-4.08348,31.882,112.483
-9229.44,0.969213,0.0295358,7,255,0,9242.02,-23.5938,-1.29986e-05,-3.58515,-14.2437,36.9056,2.76512,14.5286,4.18048,-0.249946,-32.376,6.18752,-50.0779,113.774
-9225.83,0.931474,0.0295358,6,127,0,9236.75,-37.3195,9.54186e-05,0.934041,-16.1271,-5.09301,-17.5584,16.2634,4.36558,0.437725,-0.805406,0.431612,-36.7691,117.182
-9221.55,0.616919,0.0295358,7,127,0,9231.73,-20.1526,-3.59791e-05,3.35573,-9.4277,11.3237,-10.3363,16.0663,4.32504,-0.252635,-12.3725,5.11207,-30.4304,114.231
-9225.1,0.992252,0.0295358,7,127,0,9227.91,-44.1823,-3.75896e-05,10.8225,-16.5181,13.8472,-6.81447,13.3053,7.18349,-0.340205,-3.94678,-10.5101,-47.5309,113.452
-9221.4,0.999137,0.0295358,7,255,0,9229.2,-33.4842,2.33621e-05,-3.34574,-1.4366,7.61632,-14.8142,17.5535,3.65525,0.401894,16.4251,16.6198,-35.0088,113.708
-9224,0.988249,0.0295358,7,127,0,9228.68,-41.7956,-6.65323e-06,6.27382,8.34324,14.453,-13.2311,13.8187,2.73786,1.05162,-25.5323,9.6802,23.4618,112.655
-9224.29,0.997693,0.0295358,8,255,0,9227.42,-39.9077,-1.68804e-05,1.41334,23.538,14.6826,-15.6559,15.1296,2.45314,0.949431,-19.3556,0.911488,31.1314,113.194
-9220.13,0.698099,0.0295358,7,127,0,9228.44,-45.9053,8.82483e-05,-0.430686,9.01929,10.5576,-8.64068,16.3686,4.66204,0.447911,-10.4481,-8.49132,4.234,112.632
-9221.83,0.642208,0.0295358,7,255,0,9228.02,-26.99,4.35104e-05,-1.85222,-34.6794,12.8817,-8.74151,15.2365,4.13359,0.241112,7.59705,-17.987,-47.0358,112.778
-9220.23,0.929062,0.0295358,7,255,0,9224.95,-39.0157,7.52383e-05,3.8427,8.86375,17.3751,-10.9627,14.5415,3.30598,0.670365,-11.9673,6.26327,-5.30087,113.627
-9225.64,0.985199,0.0295358,6,63,0,9227.65,-48.5153,0.000105366,-0.177076,14.0949,20.3684,-3.18982,11.0903,3.65696,1.04776,-15.115,7.99706,1.485,111.293
-9225.06,0.999999,0.0295358,7,127,0,9229.56,-35.3555,-4.46508e-05,-4.63952,-9.13542,18.4685,-8.11696,20.8415,1.71984,0.561192,-22.6291,15.9902,21.2717,113.406
-9225.81,0.985393,0.0295358,7,255,0,9234.43,-37.0413,7.42631e-07,8.31072,27.694,5.70787,-8.48367,14.1348,5.61421,-0.128813,18.209,-10.8487,-29.2318,113.163
-9230.11,0.97061,0.0295358,7,127,0,9236.63,-33.3301,4.79846e-05,-8.27415,-40.2058,26.8762,-7.84281,21.4754,1.11908,0.551709,14.7497,-6.69103,-74.8154,113.645
-9227.67,0.999287,0.0295358,7,127,0,9237.42,-16.4825,9.1679e-06,10.6646,10.4616,5.01924,-13.3471,12.7719,2.29273,0.423509,-20.0894,-14.545,26.0728,112.054
-9232.18,0.798229,0.0295358,7,127,0,9240.59,-33.7551,-0.000175436,-8.58289,-8.37306,24.4224,-10.5684,19.2617,7.45191,-0.981976,6.44313,10.3543,11.0206,115.413
-9224.15,0.898739,0.0295358,7,255,0,9238.74,-33.566,5.47112e-06,12.9953,-1.13748,3.78323,-6.29415,16.994,2.83505,0.517571,2.04131,-35.4485,-2.05972,111.889
-9224.61,0.953083,0.0295358,7,127,0,9228.92,-32.9126,5.56099e-05,-11.1256,-3.84591,10.9555,-18.0152,16.2042,5.97364,-0.176797,6.89923,-33.5547,-53.6306,112.642
-9225.91,0.993937,0.0295358,7,127,0,9232.15,-35.6451,2.48045e-05,7.60889,-24.5726,6.39097,-3.83686,13.6612,3.26613,0.505996,15.6534,-39.288,-28.8062,112.15
-9229.57,0.778428,0.0295358,7,127,0,9233.02,-21.6513,-0.000151726,-8.2518,1.81121,15.7719,-24.2168,12.8619,3.65801,0.325646,6.21448,-44.6877,-41.4118,115.251
-9225.43,0.998485,0.0295358,7,127,0,9233.11,-44.5969,-0.000125121,7.43106,-14.2956,8.36316,0.403333,19.5981,2.73933,0.286994,-7.91144,0.255127,-18.6098,111.354
-9221.81,0.964657,0.0295358,7,255,0,9230.95,-28.3108,-5.1464e-05,1.27013,-21.8744,19.9678,-7.98328,12.8064,5.52176,-0.0692417,-26.5465,-6.23763,-22.681,113.828
-9229.34,0.978024,0.0295358,7,255,0,9235.47,-66.6474,-3.58226e-05,2.55668,27.0259,11.8255,-5.43209,18.3621,4.19083,0.892323,23.1544,13.7294,71.6796,115.351
-9221.22,0.942689,0.0295358,8,255,0,9232.29,-37.5173,-6.66473e-05,-0.0781128,-9.39212,9.29416,-10.3821,18.3586,5.23207,-0.138682,-12.2334,16.1802,13.4768,111.892
-9225.87,0.680724,0.0295358,7,127,0,9233.98,-41.0157,-7.04674e-05,-0.933677,10.116,19.7224,-5.63754,12.1673,5.29574,0.0158871,0.954211,27.2507,-18.7609,115.325
-9223.79,0.976833,0.0295358,7,127,0,9233.35,-32.9882,-9.22818e-05,5.69328,-20.9981,25.371,-0.0880756,15.1221,5.15625,-0.222292,-8.57302,15.4813,-44.9706,114.167
-9221.94,0.868801,0.0295358,7,127,0,9231.56,-28.7578,-4.54725e-05,-8.0526,1.88842,1.50089,-11.7109,16.8336,3.29164,0.488928,9.04889,-4.17063,-42.0822,110.97
-9220.27,0.590722,0.0295358,7,127,0,9230.55,-31.6752,6.10003e-05,-4.93607,-3.11493,1.3433,-12.862,15.7509,4.17388,0.308266,1.15842,-5.05214,-32.8333,111.186
-9221.22,0.93001,0.0295358,7,127,0,9225.42,-34.9883,-7.95421e-05,3.72281,9.25253,15.9011,-8.29505,14.7975,5.62889,-0.0857315,-0.182259,-6.10271,-43.2965,113.096
-9229.14,0.755126,0.0295358,7,127,0,9232.41,-61.5304,0.000179014,-1.50482,19.7399,10.3667,-10.5204,16.4158,6.62501,0.104159,0.352361,-11.045,-17.0337,117.919
-9227.02,0.892035,0.0295358,7,255,0,9235.08,-28.5055,0.00021829,6.35632,-1.7259,17.4054,-4.95262,15.1635,3.77442,0.0626938,-3.22987,-7.3054,49.7514,110.59
-9223.52,0.990426,0.0295358,8,383,0,9231.46,-44.2548,2.04093e-05,-1.89842,-1.85245,11.8514,-13.5033,20.4814,5.19644,-0.246986,2.03612,16.3027,-15.3979,116.343
-9223.21,0.971607,0.0295358,7,127,0,9226.59,-29.0167,-5.97966e-05,4.58093,0.0927404,15.5869,-1.67187,13.5055,2.29509,0.533068,3.10683,-12.9735,-28.4396,110.048
-9222.5,0.930262,0.0295358,7,191,0,9229.49,-36.5598,4.16905e-05,1.96892,-18.5043,15.24,-18.1569,16.4425,3.67827,0.432976,-1.67567,-3.98187,-79.6939,115.582
-9221.29,0.970878,0.0295358,7,127,0,9225.88,-40.3747,6.69412e-05,2.40619,-10.8029,10.2268,-0.733235,17.1553,3.36347,0.446262,25.2449,-1.70649,-50.1607,115.01
-9230.75,0.99908,0.0295358,7,127,0,9234.17,-76.7618,2.09699e-05,14.6018,11.4069,24.6431,5.36703,20.0993,6.25498,-0.00395646,21.8284,-9.09907,-54.9403,115.861
-9232.87,0.878552,0.0295358,7,255,0,9241.74,-75.6398,-0.000129158,16.2279,8.09479,25.626,1.89072,19.5152,6.70616,-0.0634458,22.0862,-2.88376,-55.214,117.891
-9219.89,0.997547,0.0295358,7,255,0,9241.32,-27.6217,-7.29799e-05,2.91254,-19.0829,13.0382,-14.553,16.5211,2.89909,0.465592,-8.62091,-13.8451,-33.7828,110.957
-9220.23,0.807488,0.0295358,7,127,0,9224.3,-31.3972,3.84274e-05,-5.20383,-2.74432,5.58093,-7.83211,16.2325,3.36033,0.384455,-19.2623,-15.6442,-30.465,111.728
-9223.44,0.947801,0.0295358,7,127,0,9227.28,-26.1766,8.24724e-05,-1.25982,-17.2547,14.3985,-16.4809,16.2188,3.06081,0.409389,-14.4869,-5.02292,-87.7219,116.298
-9223.98,0.996445,0.0295358,7,255,0,9231.34,-42.4693,-1.85731e-09,0.300053,-12.7154,23.8297,2.03039,11.1347,4.27026,0.570292,1.67795,7.46248,0.791907,109.912
-9222.24,0.531161,0.0295358,7,255,0,9232.56,-42.8795,-1.05015e-05,-3.86798,-0.413858,4.78826,-17.3236,20.3093,2.54258,0.834874,4.644,-18.6099,-34.241,116.311
-9222.65,0.912456,0.0295358,7,127,0,9225.77,-29.0826,-6.43035e-05,4.55562,-10.0537,25.6189,0.986059,11.8913,4.21572,0.0437098,-1.82806,-3.79143,11.3795,110.46
-9222.98,0.701158,0.0295358,7,127,0,9230.96,-22.1216,-0.000188303,-0.248501,-20.5827,16.5822,-6.55361,10.6077,4.92977,0.0618337,3.32342,-3.46865,3.95434,112.936
-9224.68,0.937262,0.0295358,7,127,0,9231.4,-35.0741,0.000225811,-2.73334,-5.86623,19.1881,-14.116,13.0338,5.63171,0.134777,-8.90992,-5.48199,-33.3532,110.249
-9222.85,0.993641,0.0295358,7,127,0,9227.26,-35.9088,0.000204248,1.68389,-3.08088,11.6376,-3.24025,18.4864,4.54245,-0.197074,-0.617819,-2.00836,-13.2151,113.42
-9221.92,0.996458,0.0295358,7,127,0,9229.94,-28.177,0.000203701,0.93063,-14.2331,18.6889,-14.8538,12.7609,3.67304,0.372313,5.87587,0.203078,3.61288,113.609
-9220.41,0.975916,0.0295358,7,127,0,9225.11,-30.9917,8.69937e-05,-2.63665,2.99824,12.3997,-6.16325,14.2311,5.41785,-0.123903,-17.6871,-1.73934,10.2024,112.983
-9222.2,0.998812,0.0295358,7,255,0,9226.56,-35.2177,1.05484e-05,-2.47826,-8.90272,28.133,-13.7094,13.2041,5.00097,0.127546,-9.494,3.27608,11.9992,110.876
-9223.6,0.986813,0.0295358,7,255,0,9230.55,-56.5418,-1.48718e-05,11.0259,18.9378,20.5215,2.24817,14.2321,3.88501,0.675295,9.70168,6.39663,-10.9814,112.228
-9223.88,0.977379,0.0295358,7,127,0,9227.77,-54.8458,-3.08381e-05,-4.31736,3.29965,24.3466,-9.00553,17.3331,3.4558,0.7756,34.1821,15.1246,11.4662,114.445
-9223.89,0.976571,0.0295358,8,255,0,9229.29,-32.7305,-5.92312e-05,2.45019,-3.30935,0.259879,-11.1912,18.2318,3.49203,0.383291,-25.7908,-19.2466,-78.243,111.617
-9222.65,0.923196,0.0295358,7,255,0,9229.01,-45.8451,-2.09327e-05,5.08685,-2.76006,8.35069,-12.0797,20.3885,1.90469,0.768396,-15.7315,-7.88495,-55.7872,111.853
-9224.09,0.996856,0.0295358,7,255,0,9228.02,-19.1553,-3.38227e-06,-8.43669,-18.6048,21.902,-13.1594,12.533,3.73348,0.119055,13.8637,-34.0129,20.3463,114.45
-9226.37,0.999403,0.0295358,7,127,0,9231.31,-6.40154,1.28706e-05,0.733062,-23.2177,23.0715,-10.8249,8.48188,5.93604,-0.444838,-21.3969,-33.0047,28.1077,112.113
-9222.23,0.98187,0.0295358,7,127,0,9230.76,-15.5009,2.47776e-05,4.39557,-17.1981,7.40223,-12.9727,10.3169,5.38998,-0.183093,6.06079,-25.6836,-1.6934,114.222
